
2024/05/27 (18:25:45) | ===> btop++ v.1.3.2
2024/05/27 (18:25:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (18:50:05) | ===> btop++ v.1.3.2
2024/05/27 (18:50:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (18:52:20) | ===> btop++ v.1.3.2
2024/05/27 (18:52:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (18:57:40) | ===> btop++ v.1.3.2
2024/05/27 (18:57:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (19:01:55) | ===> btop++ v.1.3.2
2024/05/27 (19:01:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (20:06:09) | ===> btop++ v.1.3.2
2024/05/27 (20:06:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/28 (19:04:13) | ===> btop++ v.1.3.2
2024/05/28 (19:04:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/28 (19:21:49) | ===> btop++ v.1.3.2
2024/05/28 (19:21:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/28 (19:23:59) | ===> btop++ v.1.3.2
2024/05/28 (19:23:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/29 (13:48:17) | ===> btop++ v.1.3.2
2024/05/29 (13:48:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/29 (18:48:31) | ===> btop++ v.1.3.2
2024/05/29 (18:48:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/29 (18:48:44) | ERROR: Stall in Runner thread, restarting!

2024/05/29 (18:49:30) | ===> btop++ v.1.3.2
2024/05/29 (18:49:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/30 (17:26:00) | ===> btop++ v.1.3.2
2024/05/30 (17:26:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/30 (17:26:18) | ===> btop++ v.1.3.2
2024/05/30 (17:26:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/30 (17:46:00) | ===> btop++ v.1.3.2
2024/05/30 (17:46:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/02 (12:58:14) | ===> btop++ v.1.3.2
2024/06/02 (12:58:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/02 (13:34:45) | ===> btop++ v.1.3.2
2024/06/02 (13:34:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/02 (18:54:21) | ===> btop++ v.1.3.2
2024/06/02 (18:54:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/02 (22:02:27) | ===> btop++ v.1.3.2
2024/06/02 (22:02:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/02 (22:08:46) | ===> btop++ v.1.3.2
2024/06/02 (22:08:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/02 (23:00:32) | ===> btop++ v.1.3.2
2024/06/02 (23:00:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/03 (12:13:37) | ===> btop++ v.1.3.2
2024/06/03 (12:13:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/03 (21:04:24) | ===> btop++ v.1.3.2
2024/06/03 (21:04:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/04 (13:53:21) | ===> btop++ v.1.3.2
2024/06/04 (13:53:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/07 (18:12:24) | ===> btop++ v.1.3.2
2024/06/07 (18:12:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/07 (19:59:19) | ===> btop++ v.1.3.2
2024/06/07 (19:59:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/07 (20:07:25) | ===> btop++ v.1.3.2
